metric,n_seeds,mean,std,min,max
auc.mean_pool.spoof,5,0.8675238224107147,0.01173122181638405,0.8542695927381543,0.8881585753980548
auc.mean_pool.novel,5,0.999631684432871,0.00028049125567366264,0.9991791571453601,0.9999443547427335
auc.mean_pool.fleet,5,0.9954036461387317,0.001661202885296297,0.9933006135317528,0.9981229343265154
auc.concat_w1.spoof,5,0.7370430889968405,0.006106459041450282,0.7281263425687751,0.7456914874843162
auc.concat_w1.novel,5,0.9959383378312936,0.001902725166625494,0.9925173769595307,0.99765299863414
auc.concat_w1.fleet,5,0.9944892512316981,0.0026696529790134443,0.9916239385480128,0.9984099176483437
auc.trivial.spoof,5,0.75,0.0,0.75,0.75
auc.trivial.novel,5,0.74975,0.0004999999999999894,0.74875,0.75
auc.trivial.fleet,5,0.75,0.0,0.75,0.75
pr_auc.mean_pool.spoof,5,0.7874280925549874,0.01847931458608846,0.769092191344219,0.8225551713387208
pr_auc.mean_pool.novel,5,0.9993193862078045,0.0005204290074176501,0.9984506280123585,0.9998912593621764
pr_auc.mean_pool.fleet,5,0.993058182799089,0.00215577793748428,0.9906905303354797,0.9969851512971234
pr_auc.concat_w1.spoof,5,0.5415320121422323,0.009564887803572597,0.5300261423710617,0.5544084178733033
pr_auc.concat_w1.novel,5,0.993317118578241,0.003023198411979549,0.9876658825108158,0.9962473572847027
pr_auc.concat_w1.fleet,5,0.9912122921454676,0.003811935299143592,0.9873022547745046,0.996998077809011
pr_auc.trivial.spoof,5,0.5,0.0,0.5,0.5
pr_auc.trivial.novel,5,0.49979182311222364,0.0004163537755527802,0.49895911556111805,0.5
pr_auc.trivial.fleet,5,0.5,0.0,0.5,0.5
ci.pr_spoof_delta.estimate,5,0.24767183091713604,0.015223339781247416,0.23456433752924133,0.2755339338497993
ci.pr_spoof_delta.lower,5,0.20950266128627745,0.016058894823719538,0.193027408207147,0.23926643662624522
ci.pr_spoof_delta.upper,5,0.28274405383234485,0.016849313042475108,0.2673678152083703,0.31021220035495695
ci.pr_novel_delta.estimate,5,0.006014808474108402,0.002730273388022077,0.002795700128335521,0.010785711586112634
ci.pr_novel_delta.lower,5,0.0029711963566644043,0.0018956415696489558,0.0007832255683319495,0.006404536177678397
ci.pr_novel_delta.upper,5,0.00971490310208363,0.003722554313190864,0.005302597470214823,0.016065436226158566
ci.pr_fleet_delta.estimate,5,0.0017730096889154278,0.004516657657588067,-0.003836379650911992,0.009417392260959723
ci.pr_fleet_delta.lower,5,-0.0024069794224937996,0.004142548792115168,-0.008015624007842915,0.004762543354004811
ci.pr_fleet_delta.upper,5,0.006331468175596473,0.005467670187312977,3.449400821899896e-05,0.015125666938250367
silhouette.mean_pool,5,-0.4475634217262268,0.004697725889625497,-0.45647186040878296,-0.44286978244781494
silhouette.concat,5,-0.4920260190963745,0.005530907480566416,-0.5021276473999023,-0.48736637830734253
compactness.mean_pool.mean,5,0.04192183017730713,0.0015159772145215578,0.0396726094186306,0.04367578402161598
compactness.concat.mean,5,0.16190786957740783,0.004030015477779511,0.1549864411354065,0.1672855019569397
ci.spoof_delta.estimate,5,0.1303134375,0.008919467910839772,0.1224515625,0.14732500000000004
ci.spoof_delta.lower,5,0.11128576677704807,0.00920443119334858,0.10419713163404508,0.1294357373110862
ci.spoof_delta.upper,5,0.1503269877130568,0.008766322420757096,0.14127353125019662,0.16630419492309598
ci.novel_delta.estimate,5,0.0036993749999999713,0.0017633302565742135,0.001809374999999891,0.006659375000000023
ci.novel_delta.lower,5,0.0017132083083649615,0.001139235995378171,0.0004493149764091292,0.0037646342827927087
