metric,n_seeds,mean,std,min,max
auc.mean_pool.roc_auc,5,0.8523709697389016,0.028711200491766776,0.8212992186794236,0.9061978917791866
auc.mean_pool.pr_auc,5,0.03114111932871569,0.002900594625910402,0.02692169219471036,0.03469872666938372
auc.concat.roc_auc,5,0.8446915244868288,0.03196112996473904,0.7921973589865993,0.8869145251794843
auc.concat.pr_auc,5,0.017383856278900267,0.012775995987675183,0.005952360235126285,0.03457436984636737
auc.trivial.roc_auc,5,0.679031813393314,0.045574942506724926,0.652911702541447,0.769991678358936
auc.trivial.pr_auc,5,0.0003284483605137891,9.872908917188282e-06,0.00031324205083104936,0.00034328057144278025
t6.mean_pool,5,0.03486689203203423,0.0013009727790034018,0.03241596065144404,0.03593828405963723
t6.concat,5,0.1306806226027984,0.0015178930947763677,0.12914199628090137,0.1331987584021117
t8.within_feature_mean,5,0.5651141870074714,0.02064603306188363,0.5430198627316851,0.6036981505470893
t8.cross_feature_mean,5,0.3404075392094833,0.01145227927016944,0.3297146013616832,0.36216795929290807
t8.within_cross_ratio,5,1.6602624168356432,0.03234437244353269,1.60426952412882,1.7054245129073167
t8.collapse_detected,5,0.0,0.0,0.0,0.0
h2_replicated,5,1.0,0.0,1.0,1.0
